	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	x1hat	x2hat	x12hat	x1hat	x2hat	x12hat
						
o.nonmonr	-	-	-			
						
nonmonr				2.538	12.66**	-6.001
				(5.081)	(5.416)	(5.489)
Constant	36.71***	36.22***	32.45***	43.15***	44.71***	44.19***
	(0.894)	(1.042)	(0.957)	(0.920)	(0.981)	(0.994)
						
Observations	1,280	1,280	1,280	1,280	1,280	1,280
R-squared	0.000	0.000	0.000	0.000	0.004	0.001
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
