Period	whites_chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie
1	hey	Weiﬂ  2	1	55	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	ich w¸rde a nehmen	Weiﬂ  2	1	49	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	ich auch 	Weiﬂ  3	1	44	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	dann hat jeder was wenns nicht stimmen sollte	Weiﬂ  2	1	39	3	1	1	3	3	1	2	0	3	0	8	4	1	3	9	4	3	0	4	0	0	0	0
1	hallo . ja w¸rde ich auch machen	Weiﬂ  1	1	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	genau	Weiﬂ  3	1	34	10	1	1	3	3	1	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0
1	Info Y	Weiﬂ  3	2	50	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	info x	Weiﬂ  2	2	36	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	Info X	Weiﬂ  1	2	34	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	dann lass alternative a w‰hlen oder ?	Weiﬂ  2	2	27	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	dann A?	Weiﬂ  3	2	26	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	jo	Weiﬂ  1	2	24	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	deal (Y)	Weiﬂ  2	2	19	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
1	was sagen wir den anderen?	Weiﬂ  3	2	17	10	4	1	3	9	4	3	0	3	0	10	4	1	3	9	4	3	0	3	0	0	0	0
1	passt ja auch f¸r die	Weiﬂ  3	2	8	10	4	1	3	9	4	1	0	3	0	10	4	1	3	9	4	3	0	3	0	0	0	0
1	genau, kˆnnen ehrlich sein	Weiﬂ  1	2	0	10	4	1	3	9	4	1	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0
