Period	whites_chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie
1	Situation X, stimmt f¸r A	Weiﬂ  2	1	47	1	1	1	3	3	1	3	0	4	0	1	1	1	3	3	2	3	0	4	0	0	0	0
1	Situation Y	Weiﬂ  1	1	33	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	situation y	Weiﬂ  3	1	28	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	also B w‰hlen	Weiﬂ  1	1	5	10	2	1	3	4	2	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0
1	Info?	Weiﬂ  2	2	54	10	4	1	3	9	4	3	0	4	0	10	4	2	3	9	4	3	0	4	0	0	0	0
1	<- X	Weiﬂ  2	2	46	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	auch x 	Weiﬂ  1	2	21	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	auch	Weiﬂ  3	2	17	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1
1	situationx	Weiﬂ  3	3	50	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	jap	Weiﬂ  2	3	44	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	x	Weiﬂ  1	3	44	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	w‰r a am besten f¸r uns	Weiﬂ  3	3	38	4	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	finde ich auch	Weiﬂ  2	3	28	10	1	1	3	3	1	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0
1	und f¸r  die andern auch	Weiﬂ  2	3	13	3	1	1	3	3	1	2	0	3	0	10	4	1	3	9	4	3	0	3	0	0	0	0
1	da ir das auch alle haben scheint es zeimlich wahrscheinlich	Weiﬂ  3	3	8	9	4	1	3	9	4	3	0	4	0	7	4	1	3	9	4	3	0	4	0	0	0	0
1	Situation X	Weiﬂ  1	4	39	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	Also alternative A	Weiﬂ  1	4	27	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	situation X	Weiﬂ  2	4	27	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	Bei mir situation Y	Weiﬂ  3	4	26	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
1	Ich bin f¸r A	Weiﬂ  2	4	12	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	genau A	Weiﬂ  1	4	5	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
1	okay - a geht auch f¸r Y besser als B f¸r X	Weiﬂ  3	4	1	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	situation x	Weiﬂ  1	1	56	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	situation x	Weiﬂ  2	1	56	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	info = y	Weiﬂ  3	1	54	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	oh	Weiﬂ  2	1	48	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	 wollen wir dann situation y alternative B?	Weiﬂ  2	1	29	10	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0
2		Weiﬂ  2	1	29				3				1										1			0	0	0
2	im zweifel f¸r weiﬂ immer a bevorzugen 	Weiﬂ  3	1	22	4	1	1	3	3	1	3	0	4	0	4	1	1	3	3	2	3	0	4	0	0	0	0
2	ich w‰re eher f¸r a	Weiﬂ  1	1	20	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0
2	da bekommen wir immer was	Weiﬂ  3	1	15	4	1	1	3	3	1	3	0	4	0	4	4	1	3	9	4	3	0	4	0	0	0	0
2	ja, ich seh das wie weiﬂ 3	Weiﬂ  1	1	11	10	4	1	3	9	4	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0
2	oki	Weiﬂ  2	1	11	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0
2	x	Weiﬂ  2	2	60	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	Info = X	Weiﬂ  3	2	57	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
2	situation x	Weiﬂ  1	2	57	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0
