Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
1	am besten w‰re es a zu nehmen : dann hat jeder was davon , wenn Y nicht stimmt ( war angegeben)	Weiﬂ  2	1	39	1	1	1	3	3	1	2	0	3	0	3	1	1	3	3	1	3	0	4	0	0	0	0	.
1	info x, deshalb alternative A	Weiﬂ  2	2	47	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
1	genau	Weiﬂ  1	2	40	10	1	1	3	3	1	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
1	zwei haben die Info X, wenn wir alle A nehmen ist das f¸r un alle am besten	Weiﬂ  3	2	28	1	1	1	3	3	1	3	0	4	0	3	1	1	3	8	2	3	0	4	0	0	0	0	0
1	hallo	Weiﬂ  3	3	59				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	hi	Weiﬂ  1	3	55				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	Hallo.	Weiﬂ  2	3	54				3				1			10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	zu 75% ist es x	Weiﬂ  3	3	52	1	1	1	3	3	2	2	0	3	0	8	4	1	3	9	4	3	0	4	0	0	0	0	0
1	wir schalgen daher A vor	Weiﬂ  3	3	43	3	1	1	3	3	2	2	0	3	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	wir wollen alternative a nehmen	Weiﬂ  1	3	42	3	1	1	3	3	2	2	0	3	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	situation x	Weiﬂ  1	3	36	1	1	1	3	3	2	2	0	3	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	Genau.	Weiﬂ  2	3	34	3	1	1	3	3	2	2	0	3	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
1	Ist f¸r alle dann das Beste.	Weiﬂ  2	3	20	3	1	1	3	3	2	2	0	3	0	3	4	1	3	9	4	3	0	4	0	0	0	0	.
1	hoffetnlich werden es 20 punkte f¸r jeden	Weiﬂ  1	3	3	3	1	1	3	3	2	2	0	3	0	9	4	1	3	9	4	2	0	4	0	0	0	0	.
1	also glauben schenken oder nicht?	Weiﬂ  3	4	50	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	logo	Weiﬂ  1	4	45	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	Ja 	Weiﬂ  2	4	44	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	ok	Weiﬂ  3	4	41	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	also welche alternative?	Weiﬂ  2	4	34	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
