Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
1	es ja	Weiﬂ  2	1	60	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	y	Weiﬂ  3	1	48	1	2	1	3	4	2	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
1	Also b oder?	Weiﬂ  2	1	23	10	2	1	3	4	2	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
1	ja	Weiﬂ  1	1	15	10	2	1	3	4	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	wir sind f¸r situation x, also mˆglichkeit a	Weiﬂ  1	2	38	1	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
1	Situation X und deswegen alternative A	Weiﬂ  1	3	20	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
1	ja hat die mehrheit bei der zuteilung	Weiﬂ  3	3	13	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
1	wkeit ist relativ hoch	Weiﬂ  3	3	6	1	1	1	3	3	1	3	0	4	0	7	4	1	3	9	4	3	0	4	0	0	0	0	.
2	Sitaution X wurde drei mal vorgeschlagen und deswegn A	Weiﬂ  3	1	25	2	1	1	3	3	1	3	0	4	0	2	1	1	3	8	2	3	0	4	0	1	1	1	0
2	Ja wieder y, also B?	Weiﬂ  3	2	43	1	2	1	3	4	2	3	0	4	0	1	2	1	3	8	2	3	0	4	0	0	0	0	1
2	wir waren bei b gelandet, weil y	Weiﬂ  2	2	42	1	2	1	3	4	2	3	0	4	0	1	2	1	3	8	2	3	0	4	0	0	0	0	1
2	sozial ist gut	Weiﬂ  3	2	35	3	2	1	3	4	1	2	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	"ja ;-)"	Weiﬂ  2	2	33	10	2	1	3	4	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	genai	Weiﬂ  3	2	30	10	2	1	3	4	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	 :D	Weiﬂ  3	2	29	10	2	1	3	4	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	cool	Weiﬂ  3	2	27	10	2	1	3	4	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	ich mag soziale leute	Weiﬂ  3	2	23	3	2	1	3	4	1	2	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	b	Weiﬂ  1	2	23	10	2	1	3	4	2	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
2	risiko yes	Weiﬂ  3	2	18	10	2	1	3	4	2	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	ansonsten haben alle nichts	Weiﬂ  3	2	11	3	2	1	3	4	1	2	0	3	0	8	4	1	3	9	4	3	0	4	0	0	0	0	.
2	ist auch ok	Weiﬂ  3	2	8	3	2	1	3	4	1	2	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	da kriegen alle oder keiner was	Weiﬂ  2	2	4	3	2	1	3	4	1	2	0	3	0	10	4	1	3	9	4	1	0	4	0	0	0	0	.
2	genau	Weiﬂ  3	2	1	10	2	1	3	4	2	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
2	es soll alternative y werden, daher stimmen wir f¸r alternative b	Weiﬂ  1	3	21	1	2	1	3	4	2	3	0	4	0	1	2	1	3	8	2	3	0	4	0	0	0	0	1
2	ja y wurde dreimal vorgeschlagen. 	Weiﬂ  2	3	7	1	2	1	3	4	2	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
3	situation x, daher alternative a	Weiﬂ  1	1	47	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
3	dreimal wurde Situation X vorgeschlagen deswegen Alternative A :-D	Weiﬂ  3	1	44	10	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
3	win-win-situation	Weiﬂ  1	1	24	3	1	1	3	3	1	2	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3	X wurde 2 Mal vorgeschlagen	Weiﬂ  2	2	51	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
3	bitte a w‰hlen, liebe blauen Leute	Weiﬂ  1	2	49	3	1	1	3	3	1	2	0	3	0	10	1	3	3	3	1	3	0	3	0	0	0	0	.
3	win-win	Weiﬂ  1	2	36	3	1	1	3	3	1	2	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3	ja wahrscheinlich ist es x	Weiﬂ  3	2	35	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
3	wir sind f¸r a	Weiﬂ  2	3	54	1	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	x a	Weiﬂ  3	3	51	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
3	es wurde x vorgeschlagen	Weiﬂ  1	3	51	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
4	also 2 hatten X wahrschienlichkeit, einer Y	Weiﬂ  1	1	45	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
4	also gehen wir von x aus	Weiﬂ  1	1	39	10	1	1	3	3	1	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	0
4	also A	Weiﬂ  1	1	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
4	ich hoffe das stimmt	Weiﬂ  1	1	27	9	1	1	3	3	1	3	0	1	0	9	4	1	3	9	4	3	0	4	0	0	0	0	.
4	Ich dr¸ck uns fest diedaumen	Weiﬂ  2	1	19	9	1	1	3	3	1	3	0	1	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
4	und das ist f¸r euch ok ihr blauen	Weiﬂ  1	1	15	9	1	1	3	3	1	3	0	1	0	9	4	3	3	9	4	3	0	3	0	0	0	0	.
4	ja, auch den blauen!!!	Weiﬂ  1	1	8	9	1	1	3	3	1	3	0	1	0	10	4	3	3	9	4	3	0	3	0	0	0	0	.
4	genau!	Weiﬂ  2	1	4	9	1	1	3	3	1	3	0	1	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
4	situation x, also a	Weiﬂ  2	2	54	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
4	wir sagen a, weil x	Weiﬂ  1	2	53	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
4	X wurde 3 mal vorgeschlagen, also hohe Wahrscheinlichkeit	Weiﬂ  3	2	13	2	1	1	3	3	1	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
4	situation x also variante a	Weiﬂ  2	3	50	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
4	sutiation x, A tippen, bitte!	Weiﬂ  1	3	47	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
4	es wurde x vorgeschlagen. also a	Weiﬂ  3	3	42	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
5	a	Weiﬂ  3	1	55	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
5	weil x also a	Weiﬂ  3	1	43	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
5	 situation x wurde vorgeschlagen	Weiﬂ  1	1	42	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
5	Situation X wurde 2:1 gegeben	Weiﬂ  3	2	42	1	1	1	3	3	1	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
5	2:1 f¸r x deswegen gehen wir von der Situation x aus und wollen f¸r A Stimmen	Weiﬂ  1	2	41	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
5	x a	Weiﬂ  3	3	56	2	1	1	3	3	1	3	0	4	0	2	1	1	3	8	2	3	0	4	0	1	1	1	0
5	also 2 hatten y	Weiﬂ  2	3	53	1	2	1	3	4	2	3	0	3	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
5	deshalb ist es wahrscheinlich dass y	Weiﬂ  2	3	43	1	2	1	3	4	2	3	0	3	0	7	4	1	3	9	4	3	0	4	0	0	0	0	1
5	etweder jeder oder keiner	Weiﬂ  1	3	22	3	2	1	3	4	1	2	0	3	0	10	4	1	3	9	4	1	0	4	0	0	0	0	.
5	also b?	Weiﬂ  2	3	19	10	2	1	3	4	2	3	0	3	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
5	jap	Weiﬂ  1	3	16	10	2	1	3	4	2	3	0	3	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
