Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
1	es ist situation x also alternative a 	Weiﬂ  3	1	49	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
1	b	Weiﬂ  2	2	47	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
1	bei uns hieﬂ es 2x situation x	Weiﬂ  3	2	37	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	also b	Weiﬂ  2	2	36	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
1	also a	Weiﬂ  3	2	35	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	a	Weiﬂ  2	2	18	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	tendiere auch zu a	Weiﬂ  1	2	17	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	wir drei weiﬂen haben X  vorgeschlagen bekommen und nehmen alle A	Weiﬂ  2	3	41	1	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
1	Ja, dass  stimmt, A  	Weiﬂ  1	3	15	10	1	1	3	3	1	3	0	4	0	10	1	1	1	3	1	3	0	4	0	0	0	0	.
1	genau	Weiﬂ  3	3	15	10	1	1	3	3	1	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
1	protifieren alle	Weiﬂ  3	3	3	3	1	1	3	3	1	2	0	3	0	3	4	1	3	9	4	2	0	4	0	0	0	0	.
1	2 haben x, 1 hat y	Weiﬂ  3	4	52	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	also 2 wurde angzeigt das x vorliegtun dmir y 	Weiﬂ  2	4	49	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	was ist wahrscheinˆlicher?	Weiﬂ  2	4	43	8	4	1	3	9	4	3	0	4	0	8	4	1	3	9	4	3	0	4	0	0	0	0	.
1	X deutlich	Weiﬂ  3	4	38	8	4	1	3	9	4	3	0	4	0	8	4	1	3	9	4	3	0	4	0	0	0	0	0
1	ok	Weiﬂ  2	4	36	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	also 	Weiﬂ  2	4	35	8	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	x a ?	Weiﬂ  2	4	29	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	.
1	von daher w‰re A eine win-win situation f¸r alle	Weiﬂ  1	4	23	3	1	1	3	3	1	2	0	3	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	jep	Weiﬂ  2	4	20	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	lass uns das machen :))	Weiﬂ  2	4	17	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	vor der auslosung ist die wahrscheinlichkeit, dass 2 leute ein richtiges und 1 ein falsches kriegt 44,5 prozent und dass 2 leute ein falsches und 1 das richtige kriegt 18%	Weiﬂ  3	4	9	8	4	1	3	9	4	3	0	4	0	8	4	1	3	9	4	3	0	4	0	0	0	0	.
1	es kann nat¸rlich sein, dass zweimal X mit einer wahrscheinlichkeit von 30 prozent angeziegt wurde 	Weiﬂ  1	4	1	8	4	1	3	9	4	3	0	4	0	8	4	1	3	9	4	3	0	4	0	0	0	0	.
2		Weiﬂ  2	1	60				3				1										1			0	0	0	.
2	Es ist wieder Situation X	Weiﬂ  1	1	51	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	haben 2 mal x also f¸r a stimmen	Weiﬂ  2	1	46	1	4	1	3	9	4	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
2	wir haben 2x, 1y. vor der info w‰re die wahrscheinlichkeit, dass 2 richtige infos bekommen haben und 1 falsche 45% und dass 2 falsche info und 1 richtige info bei 18%	Weiﬂ  3	1	22	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	also wir hatten zwei mal x, einmal y	Weiﬂ  3	2	53	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	wir hatten zwei mal x und einmal y	Weiﬂ  1	2	53	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	also x is ganz sicher -> alternative a	Weiﬂ  1	2	39	10	1	1	3	3	1	3	0	4	0	8	1	1	3	8	2	3	0	4	0	0	0	0	0
2	ich w¸rde trotzdem voschlagen, wir w‰hlen A	Weiﬂ  2	2	31	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	dann kˆnnen alle 6 20 punkte machen	Weiﬂ  3	2	17	3	1	1	3	3	1	2	0	3	0	8	4	1	3	9	4	2	0	4	0	0	0	0	.
2	denn x ist am wahrscheinlichsten	Weiﬂ  3	2	9	10	4	1	3	9	4	3	0	4	0	7	4	1	3	9	4	3	0	4	0	0	0	0	.
2	 B	Weiﬂ  3	3	59	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
2	c	Weiﬂ  2	3	45	10	3	1	3	5	1	3	0	4	0	10	3	1	3	5	1	3	0	4	0	0	0	0	.
2	b	Weiﬂ  1	3	14	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
2	B!	Weiﬂ  3	3	9	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
2	ja	Weiﬂ  1	3	3	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	jo x 	Weiﬂ  3	4	59	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
2	zwein von uns wurde x angezeigt	Weiﬂ  3	4	50	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	und das iost f¸r uns alle am besten 	Weiﬂ  3	4	44	3	4	1	3	9	4	2	0	3	0	3	4	1	3	9	4	3	0	4	0	0	0	0	.
2	zwei wurden X angezeigt, einer person y. haben uns f¸r X entschieden	Weiﬂ  1	4	41	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
2	also x  und dann a :)	Weiﬂ  3	4	39	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
2	genau also alternative A 	Weiﬂ  2	4	29	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	tut mir voll leid das ihrnicht mitschreiben kˆnnt :P	Weiﬂ  3	4	12				3				1			10	4	3	3	9	4	3	0	3	0	0	0	0	.
2	haha ja denke ich mir auch schon 	Weiﬂ  2	4	5				3				1			10	4	4	1	9	4	3	0	3	0	0	0	0	.
2	die armen 	Weiﬂ  2	4	0				3				1			10	4	1	3	9	4	3	0	3	0	0	0	0	.
3	also a?	Weiﬂ  2	1	56	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	Ok A!	Weiﬂ  1	1	51	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	gut	Weiﬂ  2	1	48	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3	:P	Weiﬂ  2	1	46	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3	nummer 3?	Weiﬂ  2	1	34	10	4	4	3	9	4	3	0	4	0	10	4	4	3	9	4	3	0	4	0	0	0	0	.
3	ok	Weiﬂ  3	1	31	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3	AAAAAAAAAAAAAAA	Weiﬂ  1	1	26	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
3	l‰uft	Weiﬂ  2	1	26	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3	:DD	Weiﬂ  2	1	14	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
3		Weiﬂ  1	1	5				3				1										1			0	0	0	.
3	zwei wurden y angezeigt und einer person x	Weiﬂ  2	2	51	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
