Period	chat	PlayerName	GroupPlay	TimeInfoPayoffStructureChatMessage	Dimension1_C	Dimension2_C	Dimension3_C	Dimension4_C	Dimension5_C	Dimension6_C	Dimension7_C	Dimension8_C	Dimension9_C	Dimension10_C	Dimension1_H	Dimension2_H	Dimension3_H	Dimension4_H	Dimension5_H	Dimension6_H	Dimension7_H	Dimension8_H	Dimension9_H	Dimension10_H	lie_c	lie_h	lie	rep_maj_sig_Y
1	A	Weiﬂ  3	1	19	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	A	Weiﬂ  2	1	12	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	situation Y	Weiﬂ  2	2	31	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
1	situation y	Weiﬂ  1	2	18	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
1	w‰hlen wir B?	Weiﬂ  2	2	18	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
1	soll x sein	Weiﬂ  2	3	22	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	anscheinend	Weiﬂ  1	3	9	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	0
1		Weiﬂ  2	4	60				3				1										1			0	0	0	.
1	Alternative A dann?	Weiﬂ  1	4	56	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
1	Was wurde Weiﬂ 2 angezeigt?	Weiﬂ  3	4	41	10	4	2	3	9	4	3	0	4	0	10	4	4	3	9	4	3	0	4	0	0	0	0	.
1	X	Weiﬂ  1	4	37	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	0
1	ja alternative a bring im fall von x allen was und im fall von y zumindest uns	Weiﬂ  2	4	31	3	1	1	3	3	1	2	0	3	0	3	1	1	3	3	1	2	0	4	0	0	0	0	.
1	ja das stimmt	Weiﬂ  3	4	24	3	1	1	3	3	1	2	0	3	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
1	Genau, ist auch f¸r Blau besser :)	Weiﬂ  1	4	14	3	1	1	3	3	1	2	0	3	0	10	4	3	1	9	4	3	0	3	0	0	0	0	.
1	dann bin ich auch f¸r Situation X und a	Weiﬂ  3	4	13	3	1	1	3	3	1	2	0	3	0	10	1	1	3	8	2	3	0	4	0	0	0	0	0
1	PERFEKT .9	Weiﬂ  3	4	7	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	:)	Weiﬂ  1	4	1	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
1	:)	Weiﬂ  2	4	1	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	uns wurde 2 mal x angezeigt daher pl‰dieren wir f¸r alternative a	Weiﬂ  3	1	46	1	4	1	3	9	4	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
2	x. go for a	Weiﬂ  2	1	45	10	1	1	3	3	1	3	0	4	0	1	1	1	3	8	2	3	0	4	0	0	0	0	0
2	a!	Weiﬂ  1	1	37	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	aaaaaaaaa	Weiﬂ  2	1	27	10	1	1	3	3	1	3	0	4	0	10	1	1	3	3	1	3	0	4	0	0	0	0	.
2	"macht mit ihr blauen ;)"	Weiﬂ  3	1	9	10	1	1	3	3	1	3	0	1	0	10	4	3	3	9	4	3	0	4	0	0	0	0	.
2	es ist situation x bei mir	Weiﬂ  2	2	47	1	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	0	1	0	.
2	situation y alternative b	Weiﬂ  3	2	45	1	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0	.
2	ich w‰hle a deswegen	Weiﬂ  2	2	39	10	1	1	3	3	1	3	0	4	0	10	1	1	3	8	2	3	0	4	0	0	0	0	.
2	bei mir ist Y	Weiﬂ  1	2	31	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
2	bei mir auch y	Weiﬂ  3	2	24	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
2	und ich w‰hle B	Weiﬂ  1	2	22	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
2	dann habe ich falsch	Weiﬂ  2	2	20	10	4	1	3	9	4	3	0	4	0	5	4	1	3	9	4	3	0	4	0	0	0	0	.
2	situations y und alternative b ist gut	Weiﬂ  2	2	11	10	2	1	3	4	2	3	0	4	0	10	2	1	3	8	2	3	0	4	0	0	0	0	1
2	b	Weiﬂ  2	2	5	10	2	1	3	4	1	3	0	4	0	10	2	1	3	4	1	3	0	4	0	0	0	0	.
2	Okay, was schreiben wir jetzt hier?	Weiﬂ  2	3	19	10	4	1	3	9	4	3	0	4	0	10	4	1	3	9	4	3	0	4	0	0	0	0	.
2	Haha, gute Frage	Weiﬂ  3	3	7	10	4	1	3	9	4	3	0	4	0	10	4	1	1	9	4	3	0	4	0	0	0	0	.
2	infos f¸r die blauen?	Weiﬂ  1	3	6	10	4	1	3	9	4	3	0	3	0	10	4	1	3	9	4	3	0	3	0	0	0	0	.
2	situation X	Weiﬂ  2	4	54	2	4	1	3	9	4	3	0	4	0	2	4	1	3	9	4	3	0	4	0	1	1	1	0
3	Hallo, wir glauben es ist y	Weiﬂ  1	1	54	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	1
3	situation y haben wir alle	Weiﬂ  2	1	53	1	4	1	3	9	4	3	0	4	0	1	4	1	3	9	4	3	0	4	0	0	0	0	.
